Académico,2020,2021,2022
1,2,1,1
2,6,3,1
3,0,3,3
4,4,5,4
5,3,5,4
6,0,0,0
7,0,0,0
8,0,0,0
9,0,1,1
10,3,2,2
11,1,2,2
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
