Académico,2020,2021,2022
1,1,0,0
2,1,0,1
3,2,2,2
4,0,0,0
5,0,0,2
6,0,0,0
7,0,0,1
8,0,0,0
9,1,0,2
10,0,0,3
11,0,0,0
12,1,3,0
13,1,0,1
14,0,0,0
15,0,0,0
