Académico,2020,2021,2022
1,0,0,0
2,0,0,0
3,2,2,2
4,0,1,1
5,0,0,0
6,0,3,1
7,0,0,0
8,2,2,2
9,0,0,0
10,0,1,0
11,0,0,0
12,1,0,0
13,0,0,0
14,0,0,0
15,2,2,1
