Académico,2020,2021,2022
1,2,2,2
2,0,2,1
3,2,2,2
4,0,1,2
5,2,2,2
6,0,2,3
7,0,4,5
8,0,0,0
9,2,2,1
10,2,2,2
11,2,1,1
12,1,0,0
13,0,1,0
14,0,0,0
15,0,0,0
