Académico,2020,2021,2022
1,1,2,2
2,2,0,1
3,0,0,3
4,1,1,1
5,0,0,4
6,0,1,1
7,0,0,1
8,0,0,0
9,2,0,0
10,0,1,0
11,1,0,1
12,0,0,0
13,0,2,1
14,0,0,1
15,0,1,0
